Hotel Name,Restaurant Name,Airline,Hotel Price,Flight Price,Restaurant Price,Review,Rating
Novotel Hyderabad,Ohri's 70mm,Vistara,6550,8688,1771,Food was delicious but service was slow.,3
Marriott Hotel,Rayalaseema Ruchulu,GoAir,13055,5565,635,"Too noisy, couldn't sleep well.",3
Trident Hyderabad,Dakshin,IndiGo,13524,11330,1390,Excellent service and great food!,5
Lemon Tree Premier,Minerva Coffee Shop,Air India,14408,11594,1922,Clean rooms and friendly staff.,4
Radisson Blu Plaza,Karachi Bakery,SpiceJet,14244,4450,2424,"Not worth the price, disappointing.",3
Mercure Hyderabad,Cafe Bahar,Vistara,3477,9169,1407,Food was delicious but service was slow.,2
Avasa Hotel,KFC,GoAir,8253,7162,1734,Best hotel experience ever!,2
Taj Krishna,Paradise Biryani,IndiGo,10219,7260,1210,"Very comfortable stay, highly recommended.",1
ITC Kakatiya,Bawarchi,Air India,9057,4165,1622,Loved the ambiance and hospitality!,5
The Park Hyderabad,Chutneys,SpiceJet,7612,7315,2170,Loved the ambiance and hospitality!,2
Novotel Hyderabad,Ohri's 70mm,Vistara,5127,5294,1818,"Great location, will visit again.",2
Marriott Hotel,Rayalaseema Ruchulu,GoAir,3389,10695,1367,Best hotel experience ever!,1
Trident Hyderabad,Dakshin,IndiGo,4285,8869,1282,"Too noisy, couldn't sleep well.",5
Lemon Tree Premier,Minerva Coffee Shop,Air India,10080,6017,1572,"Average experience, could be better.",1
Radisson Blu Plaza,Karachi Bakery,SpiceJet,8593,11452,2391,"Not worth the price, disappointing.",2
Mercure Hyderabad,Cafe Bahar,Vistara,9670,10234,1764,"Great location, will visit again.",1
Avasa Hotel,KFC,GoAir,13480,8184,2201,"Very comfortable stay, highly recommended.",2
Taj Krishna,Paradise Biryani,IndiGo,8209,4609,2106,"Too noisy, couldn't sleep well.",4
ITC Kakatiya,Bawarchi,Air India,11808,11168,2303,"Too noisy, couldn't sleep well.",4
The Park Hyderabad,Chutneys,SpiceJet,9598,8575,1954,"Too noisy, couldn't sleep well.",4
Novotel Hyderabad,Ohri's 70mm,Vistara,6689,11744,1293,"Too noisy, couldn't sleep well.",2
Marriott Hotel,Rayalaseema Ruchulu,GoAir,11869,4289,1571,Loved the ambiance and hospitality!,4
Trident Hyderabad,Dakshin,IndiGo,14018,6399,1239,"Average experience, could be better.",3
Lemon Tree Premier,Minerva Coffee Shop,Air India,14011,6999,1718,"Not worth the price, disappointing.",4
Radisson Blu Plaza,Karachi Bakery,SpiceJet,14227,5700,1255,"Very comfortable stay, highly recommended.",5
Mercure Hyderabad,Cafe Bahar,Vistara,13273,5086,2344,"Not worth the price, disappointing.",3
Avasa Hotel,KFC,GoAir,8662,4611,645,"Great location, will visit again.",5
Taj Krishna,Paradise Biryani,IndiGo,13163,9528,843,Food was delicious but service was slow.,3
ITC Kakatiya,Bawarchi,Air India,11621,9133,1288,"Very comfortable stay, highly recommended.",5
The Park Hyderabad,Chutneys,SpiceJet,4594,8194,2299,"Very comfortable stay, highly recommended.",4
Novotel Hyderabad,Ohri's 70mm,Vistara,14216,6787,1547,"Not worth the price, disappointing.",4
Marriott Hotel,Rayalaseema Ruchulu,GoAir,6052,5618,1670,Best hotel experience ever!,5
Trident Hyderabad,Dakshin,IndiGo,14075,8833,1029,"Great location, will visit again.",1
Lemon Tree Premier,Minerva Coffee Shop,Air India,4840,9313,658,"Average experience, could be better.",3
Radisson Blu Plaza,Karachi Bakery,SpiceJet,5846,5352,1886,"Very comfortable stay, highly recommended.",4
Mercure Hyderabad,Cafe Bahar,Vistara,6776,6635,533,"Average experience, could be better.",1
Avasa Hotel,KFC,GoAir,8674,10749,579,Best hotel experience ever!,1
Taj Krishna,Paradise Biryani,IndiGo,5619,6963,1761,Loved the ambiance and hospitality!,5
ITC Kakatiya,Bawarchi,Air India,10071,9403,1473,Food was delicious but service was slow.,1
The Park Hyderabad,Chutneys,SpiceJet,8782,9876,2470,Loved the ambiance and hospitality!,4
Novotel Hyderabad,Ohri's 70mm,Vistara,5097,4108,2442,"Too noisy, couldn't sleep well.",2
Marriott Hotel,Rayalaseema Ruchulu,GoAir,11422,8998,2331,Excellent service and great food!,4
Trident Hyderabad,Dakshin,IndiGo,9050,11181,1752,"Average experience, could be better.",1
Lemon Tree Premier,Minerva Coffee Shop,Air India,11177,8495,1699,Best hotel experience ever!,2
Radisson Blu Plaza,Karachi Bakery,SpiceJet,12174,11735,2407,"Average experience, could be better.",4
Mercure Hyderabad,Cafe Bahar,Vistara,5887,6139,1967,Clean rooms and friendly staff.,3
Avasa Hotel,KFC,GoAir,4724,9410,2024,"Average experience, could be better.",5
Taj Krishna,Paradise Biryani,IndiGo,10411,6780,1624,Food was delicious but service was slow.,3
ITC Kakatiya,Bawarchi,Air India,6716,8868,534,"Not worth the price, disappointing.",3
The Park Hyderabad,Chutneys,SpiceJet,3406,8482,1524,"Too noisy, couldn't sleep well.",4
Novotel Hyderabad,Ohri's 70mm,Vistara,9479,6058,1577,Clean rooms and friendly staff.,5
Marriott Hotel,Rayalaseema Ruchulu,GoAir,10076,9654,1580,Excellent service and great food!,1
Trident Hyderabad,Dakshin,IndiGo,9871,7988,726,"Not worth the price, disappointing.",3
Lemon Tree Premier,Minerva Coffee Shop,Air India,5871,4986,1825,Best hotel experience ever!,3
Radisson Blu Plaza,Karachi Bakery,SpiceJet,11723,7437,745,"Average experience, could be better.",1
Mercure Hyderabad,Cafe Bahar,Vistara,14100,10401,2264,Loved the ambiance and hospitality!,4
Avasa Hotel,KFC,GoAir,4135,4360,1405,"Not worth the price, disappointing.",3
Taj Krishna,Paradise Biryani,IndiGo,8967,10182,1080,Clean rooms and friendly staff.,3
ITC Kakatiya,Bawarchi,Air India,8821,5605,1028,"Too noisy, couldn't sleep well.",2
The Park Hyderabad,Chutneys,SpiceJet,13756,5667,1309,Best hotel experience ever!,1
Novotel Hyderabad,Ohri's 70mm,Vistara,6532,11959,2212,"Very comfortable stay, highly recommended.",3
Marriott Hotel,Rayalaseema Ruchulu,GoAir,14423,7058,1382,Loved the ambiance and hospitality!,5
Trident Hyderabad,Dakshin,IndiGo,12897,6568,1088,"Great location, will visit again.",2
Lemon Tree Premier,Minerva Coffee Shop,Air India,5829,9746,1325,Clean rooms and friendly staff.,4
Radisson Blu Plaza,Karachi Bakery,SpiceJet,11711,5547,587,Excellent service and great food!,3
Mercure Hyderabad,Cafe Bahar,Vistara,3818,7192,605,Best hotel experience ever!,5
Avasa Hotel,KFC,GoAir,5142,4862,1523,Excellent service and great food!,2
Taj Krishna,Paradise Biryani,IndiGo,14654,8902,1722,"Very comfortable stay, highly recommended.",3
ITC Kakatiya,Bawarchi,Air India,9292,10380,1746,Excellent service and great food!,3
The Park Hyderabad,Chutneys,SpiceJet,6394,4878,804,Loved the ambiance and hospitality!,3
Novotel Hyderabad,Ohri's 70mm,Vistara,8208,9303,1257,"Too noisy, couldn't sleep well.",5
Marriott Hotel,Rayalaseema Ruchulu,GoAir,9259,9520,2213,"Very comfortable stay, highly recommended.",3
Trident Hyderabad,Dakshin,IndiGo,7524,6905,2253,"Great location, will visit again.",4
Lemon Tree Premier,Minerva Coffee Shop,Air India,13023,7839,2006,Food was delicious but service was slow.,5
Radisson Blu Plaza,Karachi Bakery,SpiceJet,11605,8612,1775,"Great location, will visit again.",4
Mercure Hyderabad,Cafe Bahar,Vistara,14830,4272,608,"Average experience, could be better.",4
Avasa Hotel,KFC,GoAir,8205,10107,2481,Best hotel experience ever!,1
Taj Krishna,Paradise Biryani,IndiGo,6490,6747,690,"Very comfortable stay, highly recommended.",5
ITC Kakatiya,Bawarchi,Air India,6339,5688,674,Clean rooms and friendly staff.,4
The Park Hyderabad,Chutneys,SpiceJet,5874,10536,2223,Food was delicious but service was slow.,5
Novotel Hyderabad,Ohri's 70mm,Vistara,8736,11012,988,Best hotel experience ever!,2
Marriott Hotel,Rayalaseema Ruchulu,GoAir,5326,5045,1345,Loved the ambiance and hospitality!,3
Trident Hyderabad,Dakshin,IndiGo,14535,4075,2201,Best hotel experience ever!,1
Lemon Tree Premier,Minerva Coffee Shop,Air India,3336,10668,1559,"Too noisy, couldn't sleep well.",1
Radisson Blu Plaza,Karachi Bakery,SpiceJet,13787,10240,946,Excellent service and great food!,5
Mercure Hyderabad,Cafe Bahar,Vistara,5983,5120,533,"Too noisy, couldn't sleep well.",4
Avasa Hotel,KFC,GoAir,6308,5445,773,Clean rooms and friendly staff.,1
Taj Krishna,Paradise Biryani,IndiGo,7259,9002,1519,"Too noisy, couldn't sleep well.",3
ITC Kakatiya,Bawarchi,Air India,3477,6802,1075,Excellent service and great food!,2
The Park Hyderabad,Chutneys,SpiceJet,7419,9949,1993,Loved the ambiance and hospitality!,4
Novotel Hyderabad,Ohri's 70mm,Vistara,3666,7545,1501,"Not worth the price, disappointing.",3
Marriott Hotel,Rayalaseema Ruchulu,GoAir,7558,5904,1654,Best hotel experience ever!,1
Trident Hyderabad,Dakshin,IndiGo,8155,4687,2006,"Great location, will visit again.",3
Lemon Tree Premier,Minerva Coffee Shop,Air India,14398,8490,2391,Excellent service and great food!,5
Radisson Blu Plaza,Karachi Bakery,SpiceJet,4570,7228,1993,Food was delicious but service was slow.,2
Mercure Hyderabad,Cafe Bahar,Vistara,11636,10182,660,"Very comfortable stay, highly recommended.",5
Avasa Hotel,KFC,GoAir,10339,4662,568,Clean rooms and friendly staff.,5
Taj Krishna,Paradise Biryani,IndiGo,4637,5051,2023,"Great location, will visit again.",5
ITC Kakatiya,Bawarchi,Air India,6945,4588,2226,Loved the ambiance and hospitality!,2
The Park Hyderabad,Chutneys,SpiceJet,4698,9065,1786,"Average experience, could be better.",4
Novotel Hyderabad,Ohri's 70mm,Vistara,14629,6476,538,Best hotel experience ever!,3
Marriott Hotel,Rayalaseema Ruchulu,GoAir,11748,11688,1769,Best hotel experience ever!,3
Trident Hyderabad,Dakshin,IndiGo,3112,10409,1932,"Too noisy, couldn't sleep well.",2
Lemon Tree Premier,Minerva Coffee Shop,Air India,3534,9880,1893,"Great location, will visit again.",3
Radisson Blu Plaza,Karachi Bakery,SpiceJet,11660,11161,872,Food was delicious but service was slow.,4
Mercure Hyderabad,Cafe Bahar,Vistara,5434,11896,1308,Excellent service and great food!,4
Avasa Hotel,KFC,GoAir,3494,11071,1161,Best hotel experience ever!,5
Taj Krishna,Paradise Biryani,IndiGo,11841,7963,2066,"Very comfortable stay, highly recommended.",3
ITC Kakatiya,Bawarchi,Air India,12758,10815,1209,"Average experience, could be better.",5
The Park Hyderabad,Chutneys,SpiceJet,7019,7107,1473,"Great location, will visit again.",2
Novotel Hyderabad,Ohri's 70mm,Vistara,4789,9991,1729,"Very comfortable stay, highly recommended.",3
Marriott Hotel,Rayalaseema Ruchulu,GoAir,14210,6040,580,Excellent service and great food!,5
Trident Hyderabad,Dakshin,IndiGo,3470,5572,1807,"Very comfortable stay, highly recommended.",2
Lemon Tree Premier,Minerva Coffee Shop,Air India,3220,5052,942,"Very comfortable stay, highly recommended.",5
Radisson Blu Plaza,Karachi Bakery,SpiceJet,8955,6970,639,"Average experience, could be better.",4
Mercure Hyderabad,Cafe Bahar,Vistara,12544,6232,2341,Best hotel experience ever!,5
Avasa Hotel,KFC,GoAir,5232,9192,2284,Food was delicious but service was slow.,5
Taj Krishna,Paradise Biryani,IndiGo,7351,6445,2475,"Very comfortable stay, highly recommended.",2
ITC Kakatiya,Bawarchi,Air India,5370,4054,2204,Clean rooms and friendly staff.,5
The Park Hyderabad,Chutneys,SpiceJet,11779,5282,619,Excellent service and great food!,2
Novotel Hyderabad,Ohri's 70mm,Vistara,14450,5372,537,"Average experience, could be better.",3
Marriott Hotel,Rayalaseema Ruchulu,GoAir,5011,5377,2087,"Too noisy, couldn't sleep well.",3
Trident Hyderabad,Dakshin,IndiGo,6781,6295,2013,"Not worth the price, disappointing.",5
Lemon Tree Premier,Minerva Coffee Shop,Air India,3519,8444,566,Clean rooms and friendly staff.,4
Radisson Blu Plaza,Karachi Bakery,SpiceJet,14146,5658,2271,Food was delicious but service was slow.,1
Mercure Hyderabad,Cafe Bahar,Vistara,4854,11725,2252,"Very comfortable stay, highly recommended.",1
Avasa Hotel,KFC,GoAir,6693,8712,637,Loved the ambiance and hospitality!,4
Taj Krishna,Paradise Biryani,IndiGo,5100,10854,1420,"Very comfortable stay, highly recommended.",4
ITC Kakatiya,Bawarchi,Air India,4990,6491,1646,Excellent service and great food!,3
The Park Hyderabad,Chutneys,SpiceJet,12663,9046,683,"Too noisy, couldn't sleep well.",4
Novotel Hyderabad,Ohri's 70mm,Vistara,12150,6112,2110,"Very comfortable stay, highly recommended.",1
Marriott Hotel,Rayalaseema Ruchulu,GoAir,4464,10864,1695,"Not worth the price, disappointing.",5
Trident Hyderabad,Dakshin,IndiGo,13307,7699,973,Best hotel experience ever!,5
Lemon Tree Premier,Minerva Coffee Shop,Air India,12477,5362,846,Food was delicious but service was slow.,3
Radisson Blu Plaza,Karachi Bakery,SpiceJet,7966,11574,2263,"Not worth the price, disappointing.",1
Mercure Hyderabad,Cafe Bahar,Vistara,10342,10248,1817,Clean rooms and friendly staff.,2
Avasa Hotel,KFC,GoAir,8802,6955,2355,Clean rooms and friendly staff.,1
Taj Krishna,Paradise Biryani,IndiGo,11056,6174,2037,Loved the ambiance and hospitality!,5
ITC Kakatiya,Bawarchi,Air India,6093,5244,810,Food was delicious but service was slow.,4
The Park Hyderabad,Chutneys,SpiceJet,8581,5857,770,"Great location, will visit again.",4
Novotel Hyderabad,Ohri's 70mm,Vistara,7058,9491,1905,"Not worth the price, disappointing.",5
Marriott Hotel,Rayalaseema Ruchulu,GoAir,7049,7779,1862,"Not worth the price, disappointing.",4
Trident Hyderabad,Dakshin,IndiGo,4553,5951,1200,Best hotel experience ever!,3
Lemon Tree Premier,Minerva Coffee Shop,Air India,4251,11125,603,Excellent service and great food!,2
Radisson Blu Plaza,Karachi Bakery,SpiceJet,7469,6931,1240,Food was delicious but service was slow.,3
Mercure Hyderabad,Cafe Bahar,Vistara,11900,8341,2033,"Very comfortable stay, highly recommended.",4
Avasa Hotel,KFC,GoAir,7847,8923,1488,Excellent service and great food!,5
